Temperature   	Mass18	Mass51	Mass67	Mass28
3.2321E+2	1.0081E-10	1.5654E-12	7.9692E-12	8.7202E-11
3.2355E+2	2.9235E-11	6.2064E-12	7.8562E-12	1.3140E-10
3.2378E+2	2.3791E-11	4.1174E-12	1.3285E-12	1.1345E-10
3.2424E+2	9.1224E-11	5.3940E-12	6.8717E-12	8.7652E-11
3.2454E+2	8.6362E-11	2.6392E-12	9.8312E-12	9.0483E-11
3.2477E+2	9.6349E-11	7.3099E-12	1.4285E-12	9.3712E-11
3.2488E+2	4.1122E-11	7.5705E-12	6.4239E-12	7.6289E-11
3.2513E+2	1.4023E-10	1.9077E-12	1.7514E-12	1.0631E-10
3.2546E+2	1.0361E-10	1.4167E-11	1.2891E-12	8.8031E-11
3.2592E+2	8.5515E-11	3.8021E-12	6.4032E-12	1.1628E-10
3.2621E+2	5.8405E-11	8.3704E-12	8.2292E-12	1.7120E-10
3.2634E+2	4.3716E-11	7.3932E-12	7.9087E-12	8.4225E-11
3.2693E+2	9.2098E-11	1.0069E-11	6.6944E-12	1.2968E-10
3.2698E+2	1.4866E-10	5.6786E-12	9.4808E-12	9.9924E-11
3.2755E+2	7.1146E-11	5.1721E-12	1.8528E-12	9.5146E-11
3.2765E+2	1.2810E-10	3.0579E-12	6.4528E-12	1.1758E-10
3.2821E+2	1.0134E-10	4.4020E-12	7.9293E-12	8.1892E-11
3.2848E+2	6.6651E-11	3.0158E-12	9.6548E-12	1.6747E-10
3.2878E+2	7.0835E-11	5.6902E-12	9.9128E-12	5.8188E-11
3.2911E+2	9.0720E-11	1.2361E-11	7.6643E-12	8.5079E-11
3.2935E+2	1.2684E-10	7.2995E-12	2.8291E-12	1.3515E-10
3.2985E+2	1.2065E-10	6.8434E-12	5.1941E-12	1.4692E-10
3.3009E+2	8.5677E-11	8.8467E-12	8.0843E-12	1.0509E-10
3.3066E+2	7.1319E-11	6.2414E-12	7.0019E-12	1.3222E-10
3.3075E+2	1.0306E-10	8.4963E-12	7.8606E-12	9.1327E-11
3.3137E+2	1.4069E-10	7.3956E-12	3.5979E-12	5.4224E-11
3.3169E+2	8.1928E-11	8.7982E-12	4.1039E-12	1.4825E-10
3.3183E+2	9.9658E-11	1.1949E-11	9.3470E-12	1.2092E-10
3.3247E+2	7.3472E-11	6.9215E-12	6.7264E-12	6.9831E-11
3.3262E+2	3.7288E-11	9.9226E-12	6.5635E-12	1.0340E-10
3.3323E+2	6.4057E-11	9.2865E-12	6.8078E-12	1.4539E-10
3.3341E+2	9.3683E-11	1.0424E-11	9.2915E-12	1.7756E-10
3.3398E+2	8.8225E-11	5.8774E-12	5.0837E-12	7.8905E-11
3.3411E+2	4.8061E-11	2.4329E-12	8.7516E-12	1.3635E-10
3.3471E+2	5.4744E-11	1.0410E-11	8.0290E-12	1.4452E-10
3.3512E+2	1.0028E-10	6.2155E-12	2.3306E-12	1.3928E-10
3.3529E+2	5.8245E-11	9.4375E-12	1.8961E-12	1.0417E-10
3.3561E+2	4.9195E-11	7.3798E-12	6.7212E-12	1.1680E-10
3.3600E+2	1.1378E-10	6.9576E-12	8.4133E-12	1.3989E-10
3.3653E+2	1.3871E-10	1.1277E-11	1.1409E-11	1.0962E-10
3.3706E+2	7.1633E-11	6.8894E-12	1.0032E-11	1.2815E-10
3.3739E+2	9.3777E-11	6.4060E-12	1.0022E-11	1.2254E-10
3.3763E+2	6.8791E-11	3.4228E-12	8.1655E-12	1.1057E-10
3.3797E+2	7.4407E-11	7.5266E-12	1.1271E-11	1.0650E-10
3.3836E+2	8.7888E-11	8.5453E-12	5.9375E-12	1.1200E-10
3.3878E+2	4.1835E-11	9.7380E-12	6.3885E-12	9.3048E-11
3.3942E+2	9.0460E-11	2.8081E-12	7.2461E-12	1.1861E-10
3.3983E+2	9.3134E-11	6.7702E-12	7.9728E-12	1.0214E-10
3.4003E+2	1.3063E-10	7.1674E-12	8.7008E-12	1.1242E-10
3.4034E+2	4.9768E-11	5.9866E-12	2.6421E-12	1.0962E-10
3.4076E+2	1.4280E-10	7.2774E-12	5.8466E-12	9.9201E-11
3.4137E+2	8.1924E-11	9.3525E-12	9.6812E-12	1.0663E-10
3.4184E+2	8.1567E-11	7.7137E-12	5.9227E-12	1.1816E-10
3.4221E+2	1.3343E-10	9.9654E-12	2.2257E-12	9.4998E-11
3.4244E+2	6.1240E-11	5.4060E-12	5.8134E-12	1.1471E-10
3.4277E+2	1.2163E-10	2.8908E-12	1.1440E-11	7.7135E-11
3.4319E+2	1.2016E-10	6.3338E-12	9.9553E-12	8.7300E-11
3.4374E+2	6.7884E-11	1.1108E-11	5.2413E-12	1.1489E-10
3.4424E+2	6.0267E-11	7.3592E-12	8.0910E-12	3.7839E-11
3.4456E+2	5.1363E-11	9.6090E-12	8.5455E-12	7.9336E-11
3.4508E+2	1.0798E-10	7.1422E-12	5.6814E-12	1.2860E-10
3.4535E+2	9.1871E-11	7.2507E-12	5.9933E-12	6.6546E-11
3.4576E+2	9.8187E-11	7.6186E-12	4.5795E-12	9.8082E-11
3.4631E+2	8.5509E-11	8.5232E-12	5.7418E-12	1.0650E-10
3.4661E+2	8.9621E-11	6.6310E-12	5.9665E-12	6.2990E-11
3.4694E+2	9.7984E-11	7.2713E-12	7.6798E-12	8.3753E-11
3.4722E+2	5.1410E-11	2.0655E-12	7.1873E-12	1.2249E-10
3.4774E+2	5.2975E-11	9.1373E-12	7.9227E-12	8.2640E-11
3.4818E+2	7.5382E-11	7.1535E-12	6.3417E-12	7.5498E-11
3.4874E+2	5.0081E-11	8.0737E-12	7.1818E-12	1.3831E-10
3.4905E+2	6.4930E-11	3.7022E-12	2.2441E-12	1.2837E-10
3.4932E+2	1.0481E-10	9.3204E-12	2.3543E-12	9.9744E-11
3.4968E+2	9.6059E-11	5.8366E-12	6.3871E-12	1.1387E-10
3.5003E+2	2.9563E-11	6.5821E-12	9.3812E-12	8.5466E-11
3.5041E+2	9.3281E-11	6.7329E-12	2.0176E-12	1.2677E-10
3.5109E+2	1.2283E-10	7.2307E-12	8.6893E-12	1.3670E-10
3.5133E+2	7.0679E-11	2.0075E-12	8.8535E-12	1.0393E-10
3.5169E+2	1.3342E-10	1.0492E-11	7.1349E-12	1.1813E-10
3.5197E+2	7.6776E-11	8.1197E-12	5.3591E-12	1.2954E-10
3.5250E+2	1.1318E-10	2.8274E-12	5.9479E-12	1.2201E-10
3.5292E+2	1.5674E-10	8.7497E-12	1.8961E-12	6.1118E-11
3.5341E+2	9.6804E-11	6.5240E-12	4.9006E-12	9.1367E-11
3.5362E+2	6.3139E-11	1.1117E-11	6.1139E-12	9.7287E-11
3.5397E+2	1.0601E-10	3.2911E-12	1.5988E-12	1.0263E-10
3.5440E+2	9.7651E-11	9.2176E-12	1.9370E-12	1.4145E-10
3.5493E+2	8.2513E-11	5.8716E-12	3.0824E-12	1.2311E-10
3.5535E+2	1.2290E-10	7.9191E-12	3.9000E-12	1.1037E-10
3.5573E+2	3.5074E-11	7.0055E-12	6.7148E-12	8.1806E-11
3.5614E+2	7.6990E-11	1.0030E-11	6.1675E-12	8.2074E-11
3.5649E+2	1.2049E-10	8.5516E-12	4.8966E-12	9.9757E-11
3.5662E+2	1.1219E-10	7.0805E-12	7.3909E-12	1.1692E-10
3.5729E+2	7.3875E-11	6.9127E-12	2.2327E-12	7.7324E-11
3.5767E+2	8.2151E-11	4.2688E-12	5.5880E-12	5.9573E-11
3.5790E+2	7.7653E-11	7.3579E-12	7.8565E-12	1.2936E-10
3.5812E+2	8.0971E-11	9.1937E-12	8.3147E-12	9.0268E-11
3.5848E+2	6.6620E-11	3.7864E-12	5.6346E-12	1.1863E-10
